HDR,ROLLING SYSTEM DEMAND
VD,20220215000000,26910
VD,20220215000500,27057
VD,20220215001000,27079
VD,20220215001500,27082
VD,20220215002000,27046
VD,20220215002500,26936
VD,20220215003000,26922
VD,20220215003500,27207
VD,20220215004000,27448
VD,20220215004500,27580
VD,20220215005000,27602
VD,20220215005500,27507
VD,20220215010000,27315
VD,20220215010500,27225
VD,20220215011000,27209
VD,20220215011500,27147
VD,20220215012000,27040
VD,20220215012500,26906
VD,20220215013000,26844
VD,20220215013500,26891
VD,20220215014000,26835
VD,20220215014500,26912
VD,20220215015000,26741
VD,20220215015500,26690
VD,20220215020000,26745
VD,20220215020500,26730
VD,20220215021000,26852
VD,20220215021500,26937
VD,20220215022000,27137
VD,20220215022500,27130
VD,20220215023000,26989
VD,20220215023500,26911
VD,20220215024000,26811
VD,20220215024500,26615
VD,20220215025000,26534
VD,20220215025500,26656
VD,20220215030000,26422
VD,20220215030500,26569
VD,20220215031000,26795
VD,20220215031500,26903
VD,20220215032000,26881
VD,20220215032500,26985
VD,20220215033000,26854
VD,20220215033500,26769
VD,20220215034000,26594
VD,20220215034500,26418
VD,20220215035000,26199
VD,20220215035500,26248
VD,20220215040000,26058
VD,20220215040500,26068
VD,20220215041000,26058
VD,20220215041500,26054
VD,20220215042000,26022
VD,20220215042500,25785
VD,20220215043000,25901
VD,20220215043500,25883
VD,20220215044000,25820
VD,20220215044500,25882
VD,20220215045000,25782
VD,20220215045500,25788
VD,20220215050000,25831
VD,20220215050500,26190
VD,20220215051000,26619
VD,20220215051500,26808
VD,20220215052000,26896
VD,20220215052500,26821
VD,20220215053000,26968
VD,20220215053500,27126
VD,20220215054000,27185
VD,20220215054500,27367
VD,20220215055000,27631
VD,20220215055500,27886
VD,20220215060000,28444
VD,20220215060500,29288
VD,20220215061000,30067
VD,20220215061500,30537
VD,20220215062000,30770
VD,20220215062500,31174
VD,20220215063000,31681
VD,20220215063500,32168
VD,20220215064000,32660
VD,20220215064500,33047
VD,20220215065000,33436
VD,20220215065500,33818
VD,20220215070000,34071
VD,20220215070500,34205
VD,20220215071000,34280
VD,20220215071500,34593
VD,20220215072000,34770
VD,20220215072500,35200
VD,20220215073000,35399
VD,20220215073500,35560
